TicketID,OpeningVersion,FixedVersion,InjectedVersion
SYNCOPE-937,1.2.9,1.2.9,2.0.0.M5
SYNCOPE-1000,1.2.10,1.2.10,2.0.1
SYNCOPE-997,1.2.10,1.2.10,2.0.1
SYNCOPE-994,1.2.10,1.2.10,2.0.1
SYNCOPE-993,1.2.10,1.2.10,2.0.1
SYNCOPE-992,1.2.10,1.2.10,2.0.1
SYNCOPE-990,1.2.10,1.2.10,2.0.1
SYNCOPE-987,1.2.10,1.2.10,2.0.1
SYNCOPE-982,1.2.10,1.2.10,2.0.1
SYNCOPE-981,1.2.10,1.2.10,2.0.1
SYNCOPE-980,1.2.10,1.2.10,2.0.1
SYNCOPE-979,1.2.10,1.2.10,2.0.1
SYNCOPE-977,1.2.10,1.2.10,2.0.1
SYNCOPE-976,1.2.10,1.2.10,1.2.9
SYNCOPE-975,1.2.10,1.2.10,1.2.10
SYNCOPE-974,1.2.10,1.2.10,2.0.1
SYNCOPE-970,1.2.10,1.2.10,2.0.1
SYNCOPE-966,1.2.10,1.2.10,2.0.1
SYNCOPE-965,1.2.10,1.2.10,1.2.9
SYNCOPE-1002,2.0.2,2.0.2,2.0.1
SYNCOPE-1001,2.0.2,2.0.2,2.0.1
SYNCOPE-999,1.2.10,2.0.2,1.2.9
SYNCOPE-1062,2.0.3,2.0.3,2.0.2
SYNCOPE-1060,2.0.3,2.0.3,2.0.2
SYNCOPE-1057,2.0.3,2.0.3,2.0.3
SYNCOPE-1052,2.0.3,2.0.3,2.0.3,stimato
SYNCOPE-1051,2.0.3,2.0.3,2.0.2
SYNCOPE-1049,2.0.3,2.0.3,2.0.2
SYNCOPE-1048,2.0.3,2.0.3,2.0.2
SYNCOPE-1046,2.0.3,2.0.3,2.0.2
SYNCOPE-1045,2.0.3,2.0.3,2.0.3
SYNCOPE-1044,2.0.3,2.0.3,2.0.2
SYNCOPE-1043,2.0.3,2.0.3,2.0.2
SYNCOPE-1042,2.0.3,2.0.3,2.0.2
SYNCOPE-1040,2.0.3,2.0.3,2.0.2
SYNCOPE-1039,2.0.3,2.0.3,2.0.2
SYNCOPE-1038,2.0.3,2.0.3,2.0.2
SYNCOPE-1037,2.0.3,2.0.3,2.0.2
SYNCOPE-1036,2.0.3,2.0.3,2.0.2
SYNCOPE-1034,2.0.3,2.0.3,2.0.2
SYNCOPE-1033,2.0.3,2.0.3,2.0.2
SYNCOPE-1032,2.0.3,2.0.3,2.0.2
SYNCOPE-1030,2.0.3,2.0.3,2.0.2
SYNCOPE-1027,2.0.3,2.0.3,2.0.2
SYNCOPE-1026,2.0.3,2.0.3,2.0.2
SYNCOPE-1025,2.0.3,2.0.3,2.0.2
SYNCOPE-1023,2.0.3,2.0.3,2.0.2
SYNCOPE-1022,2.0.3,2.0.3,2.0.2
SYNCOPE-1016,2.0.3,2.0.3,2.0.2
SYNCOPE-1014,2.0.3,2.0.3,2.0.2
SYNCOPE-1013,2.0.3,2.0.3,2.0.2
SYNCOPE-1012,2.0.3,2.0.3,2.0.2
SYNCOPE-1010,2.0.3,2.0.3,2.0.2
SYNCOPE-1008,2.0.3,2.0.3,2.0.2
SYNCOPE-1007,2.0.3,2.0.3,2.0.2
SYNCOPE-1004,2.0.3,2.0.3,2.0.2
SYNCOPE-1003,2.0.3,2.0.3,2.0.2
SYNCOPE-1135,2.0.4,2.0.4,2.0.3
SYNCOPE-1134,2.0.4,2.0.4,2.0.3
SYNCOPE-1133,2.0.4,2.0.4,2.0.3
SYNCOPE-1131,2.0.4,2.0.4,2.0.3
SYNCOPE-1130,2.0.4,2.0.4,2.0.3
SYNCOPE-1128,2.0.4,2.0.4,1.1.8
